SampleIndex,Time_us,CH1_Volts,CH2_Volts
0,0.0000,0.1172,0.1172
1,0.0625,0.0000,-0.6250
2,0.1250,-2.5000,0.1172
3,0.1875,0.1172,0.0781
4,0.2500,0.1172,0.0781
5,0.3125,0.0781,0.1172
6,0.3750,0.0781,0.0781
7,0.4375,0.0781,0.0781
8,0.5000,0.0781,0.1172
9,0.5625,0.0781,0.0781
10,0.6250,0.1172,0.0781
11,0.6875,0.0781,0.1172
12,0.7500,0.1172,0.0781
13,0.8125,0.1172,0.0781
14,0.8750,0.1172,0.1172
15,0.9375,0.0781,0.0781
16,1.0000,0.0781,0.0781
17,1.0625,0.0781,0.1172
18,1.1250,0.0781,0.0781
19,1.1875,0.0781,0.1172
20,1.2500,0.0781,0.0781
21,1.3125,0.1172,0.1172
22,1.3750,0.0781,0.0781
23,1.4375,0.0781,0.1172
24,1.5000,0.1172,0.0781
25,1.5625,0.1172,0.1172
26,1.6250,0.0781,0.0781
27,1.6875,0.0781,0.0781
28,1.7500,0.0781,0.1172
29,1.8125,0.0781,0.0781
30,1.8750,0.1172,0.0781
31,1.9375,0.0781,0.0781
32,2.0000,0.0781,0.0781
33,2.0625,0.1172,0.0781
34,2.1250,0.0781,0.1172
35,2.1875,0.0781,0.1172
36,2.2500,0.0781,0.1172
37,2.3125,0.1172,0.1172
38,2.3750,0.1562,0.1172
39,2.4375,0.1172,0.1562
40,2.5000,0.1172,0.0781
41,2.5625,0.0781,0.0391
42,2.6250,0.0781,0.0781
43,2.6875,0.0781,0.0781
44,2.7500,0.0781,0.0781
45,2.8125,0.0781,0.1172
46,2.8750,0.1562,0.1562
47,2.9375,0.1172,0.1172
48,3.0000,0.0781,0.1172
49,3.0625,0.0781,0.0781
50,3.1250,0.0781,0.0781
51,3.1875,0.1172,0.1172
52,3.2500,0.0781,0.0781
53,3.3125,0.0781,0.1172
54,3.3750,0.1172,0.0781
55,3.4375,0.0781,0.1172
56,3.5000,0.0781,0.1172
57,3.5625,0.1172,0.0781
58,3.6250,0.1172,0.1172
59,3.6875,0.1172,0.1172
60,3.7500,0.1172,0.1172
61,3.8125,0.1172,0.1172
62,3.8750,0.1172,0.0781
63,3.9375,0.0781,0.0781
64,4.0000,0.1172,0.1172
65,4.0625,0.0781,0.0781
66,4.1250,0.1172,0.0781
67,4.1875,0.0781,0.1172
68,4.2500,0.0781,0.0781
69,4.3125,0.0781,0.0781
70,4.3750,0.1172,0.0781
71,4.4375,0.0781,0.0781
72,4.5000,0.0781,0.1172
73,4.5625,0.0781,0.0781
74,4.6250,0.0781,0.1172
75,4.6875,0.0781,0.0781
76,4.7500,0.0781,0.0781
77,4.8125,0.0781,0.0781
78,4.8750,0.0781,0.1172
79,4.9375,0.0781,0.0781
80,5.0000,0.1172,0.0781
81,5.0625,0.0781,0.1172
82,5.1250,0.0781,0.0781
83,5.1875,0.0781,0.0781
84,5.2500,0.0781,0.0781
85,5.3125,0.0781,0.1172
86,5.3750,0.0781,0.0781
87,5.4375,0.0781,0.1172
88,5.5000,0.0781,0.0781
89,5.5625,0.0781,0.0781
90,5.6250,0.1172,0.0781
91,5.6875,0.0781,0.1172
92,5.7500,0.1172,0.1172
93,5.8125,0.0781,0.1172
94,5.8750,0.0781,0.0781
95,5.9375,0.0781,0.1172
96,6.0000,0.0781,0.1172
97,6.0625,0.1172,0.0781
98,6.1250,0.1172,0.0781
99,6.1875,0.1172,0.1172
100,6.2500,0.1172,0.0781
101,6.3125,0.0781,0.1172
102,6.3750,0.1172,0.1172
103,6.4375,0.1172,0.1172
104,6.5000,0.1172,0.1172
105,6.5625,0.1172,0.1172
106,6.6250,0.0781,0.0781
107,6.6875,0.0781,0.0391
108,6.7500,0.0781,0.0781
109,6.8125,0.0781,0.1172
110,6.8750,0.1172,0.1562
111,6.9375,0.1172,0.1172
112,7.0000,0.1172,0.1172
113,7.0625,0.0781,0.1172
114,7.1250,0.1172,0.1172
115,7.1875,0.0781,0.0781
116,7.2500,0.0781,0.0781
117,7.3125,0.0781,0.0781
118,7.3750,0.0781,0.1172
119,7.4375,0.1172,0.1172
120,7.5000,0.1172,0.1172
121,7.5625,0.1172,0.0781
122,7.6250,0.1172,0.1172
123,7.6875,0.1172,0.0781
124,7.7500,0.1172,0.1172
125,7.8125,0.0781,0.0781
126,7.8750,0.0781,0.1172
127,7.9375,0.0781,0.1172
128,8.0000,0.1172,0.1172
129,8.0625,0.1172,0.0781
130,8.1250,0.1172,0.0781
131,8.1875,0.1172,0.0781
132,8.2500,0.0781,0.0781
133,8.3125,0.0781,0.0781
134,8.3750,0.0781,0.1172
135,8.4375,0.0781,0.0781
136,8.5000,0.0781,0.0781
137,8.5625,0.1172,0.0781
138,8.6250,0.0781,0.0781
139,8.6875,0.0781,0.0781
140,8.7500,0.0781,0.1172
