Scan_Index,Timestamp_s,RayPath_ID,Tx_Channel,Rx_Channel,TimeOfFlight_us,AdaptiveCooldown_ms,Method,Status
1,1784877040.914,1,1,2,16.5325,5.02,CrossCorrelation,OK
1,1784877041.622,2,2,1,16.5296,5.02,CrossCorrelation,OK
1,1784877042.324,3,3,4,16.5032,5.02,CrossCorrelation,OK
1,1784877043.038,4,4,3,16.4627,5.02,CrossCorrelation,OK
1,1784877043.750,5,5,6,16.4855,5.02,CrossCorrelation,OK
1,1784877044.465,6,6,5,16.5102,5.02,CrossCorrelation,OK
1,1784877045.177,7,7,8,16.4653,5.02,CrossCorrelation,OK
1,1784877045.889,8,8,7,16.4666,5.02,CrossCorrelation,OK
2,1784877046.603,1,1,2,16.5213,5.02,CrossCorrelation,OK
2,1784877047.316,2,2,1,16.4962,5.02,CrossCorrelation,OK
2,1784877048.020,3,3,4,16.4602,5.02,CrossCorrelation,OK
2,1784877048.737,4,4,3,16.4616,5.02,CrossCorrelation,OK
2,1784877049.453,5,5,6,16.4939,5.02,CrossCorrelation,OK
2,1784877050.164,6,6,5,16.4848,5.02,CrossCorrelation,OK
2,1784877050.881,7,7,8,16.5011,5.02,CrossCorrelation,OK
2,1784877051.590,8,8,7,16.4970,5.02,CrossCorrelation,OK
3,1784877052.310,1,1,2,16.5544,5.02,CrossCorrelation,OK
3,1784877053.008,2,2,1,16.5274,5.02,CrossCorrelation,OK
3,1784877053.706,3,3,4,16.4883,5.02,CrossCorrelation,OK
3,1784877054.415,4,4,3,16.5154,5.02,CrossCorrelation,OK
3,1784877055.121,5,5,6,16.5008,5.02,CrossCorrelation,OK
3,1784877055.830,6,6,5,16.4549,5.02,CrossCorrelation,OK
3,1784877056.531,7,7,8,16.4680,5.02,CrossCorrelation,OK
3,1784877057.239,8,8,7,16.5160,5.02,CrossCorrelation,OK
4,1784877057.952,1,1,2,16.4839,5.02,CrossCorrelation,OK
4,1784877058.653,2,2,1,16.4953,5.02,CrossCorrelation,OK
4,1784877059.360,3,3,4,16.5020,5.02,CrossCorrelation,OK
4,1784877060.138,4,4,3,16.4840,5.02,CrossCorrelation,OK
4,1784877060.843,5,5,6,16.4667,5.02,CrossCorrelation,OK
4,1784877061.546,6,6,5,16.4741,5.02,CrossCorrelation,OK
4,1784877062.248,7,7,8,16.4401,5.02,CrossCorrelation,OK
4,1784877062.954,8,8,7,16.4894,5.02,CrossCorrelation,OK
5,1784877063.663,1,1,2,16.4918,5.02,CrossCorrelation,OK
5,1784877064.369,2,2,1,16.4868,5.02,CrossCorrelation,OK
5,1784877065.074,3,3,4,16.4545,5.02,CrossCorrelation,OK
5,1784877065.774,4,4,3,16.5074,5.02,CrossCorrelation,OK
5,1784877066.484,5,5,6,16.5039,5.02,CrossCorrelation,OK
5,1784877067.193,6,6,5,16.4794,5.02,CrossCorrelation,OK
5,1784877067.910,7,7,8,16.4985,5.02,CrossCorrelation,OK
5,1784877068.629,8,8,7,16.4853,5.02,CrossCorrelation,OK
6,1784877069.340,1,1,2,16.4550,5.02,CrossCorrelation,OK
6,1784877070.048,2,2,1,16.4772,5.02,CrossCorrelation,OK
6,1784877070.748,3,3,4,16.4925,5.02,CrossCorrelation,OK
6,1784877071.456,4,4,3,16.4506,5.02,CrossCorrelation,OK
6,1784877072.164,5,5,6,16.4932,5.02,CrossCorrelation,OK
6,1784877072.882,6,6,5,16.5128,5.02,CrossCorrelation,OK
6,1784877073.584,7,7,8,16.5061,5.02,CrossCorrelation,OK
6,1784877074.287,8,8,7,16.4676,5.02,CrossCorrelation,OK
7,1784877074.993,1,1,2,16.4999,5.02,CrossCorrelation,OK
7,1784877075.690,2,2,1,16.4463,5.02,CrossCorrelation,OK
7,1784877076.395,3,3,4,16.4555,5.02,CrossCorrelation,OK
7,1784877077.097,4,4,3,16.4632,5.02,CrossCorrelation,OK
7,1784877077.808,5,5,6,16.4512,5.02,CrossCorrelation,OK
7,1784877078.514,6,6,5,16.5024,5.02,CrossCorrelation,OK
7,1784877079.215,7,7,8,16.5356,5.02,CrossCorrelation,OK
7,1784877079.927,8,8,7,16.4772,5.02,CrossCorrelation,OK
8,1784877080.662,1,1,2,16.5560,5.02,CrossCorrelation,OK
8,1784877081.362,2,2,1,16.5007,5.02,CrossCorrelation,OK
8,1784877082.070,3,3,4,16.4672,5.02,CrossCorrelation,OK
8,1784877082.767,4,4,3,16.5519,5.02,CrossCorrelation,OK
8,1784877083.475,5,5,6,16.5401,5.02,CrossCorrelation,OK
8,1784877084.187,6,6,5,16.4675,5.02,CrossCorrelation,OK
8,1784877084.891,7,7,8,16.5037,5.02,CrossCorrelation,OK
8,1784877085.593,8,8,7,16.4971,5.02,CrossCorrelation,OK
9,1784877086.296,1,1,2,16.4800,5.02,CrossCorrelation,OK
9,1784877087.003,2,2,1,16.4585,5.02,CrossCorrelation,OK
9,1784877087.711,3,3,4,16.4513,5.02,CrossCorrelation,OK
9,1784877088.423,4,4,3,16.4727,5.02,CrossCorrelation,OK
9,1784877089.138,5,5,6,16.4697,5.02,CrossCorrelation,OK
9,1784877089.847,6,6,5,16.5149,5.02,CrossCorrelation,OK
9,1784877090.559,7,7,8,16.4958,5.02,CrossCorrelation,OK
9,1784877091.269,8,8,7,16.4891,5.02,CrossCorrelation,OK
10,1784877091.976,1,1,2,16.4917,5.02,CrossCorrelation,OK
10,1784877092.685,2,2,1,16.5044,5.02,CrossCorrelation,OK
10,1784877093.386,3,3,4,16.4974,5.02,CrossCorrelation,OK
10,1784877094.085,4,4,3,16.5226,5.02,CrossCorrelation,OK
10,1784877094.800,5,5,6,16.4974,5.02,CrossCorrelation,OK
10,1784877095.515,6,6,5,16.4972,5.02,CrossCorrelation,OK
10,1784877096.221,7,7,8,16.4598,5.02,CrossCorrelation,OK
10,1784877096.923,8,8,7,16.5375,5.02,CrossCorrelation,OK
11,1784877097.624,1,1,2,16.4699,5.02,CrossCorrelation,OK
11,1784877098.326,2,2,1,16.5002,5.02,CrossCorrelation,OK
11,1784877099.044,3,3,4,16.5128,5.02,CrossCorrelation,OK
11,1784877099.755,4,4,3,16.4939,5.02,CrossCorrelation,OK
11,1784877100.466,5,5,6,16.5135,5.02,CrossCorrelation,OK
11,1784877101.170,6,6,5,16.5076,5.02,CrossCorrelation,OK
11,1784877101.875,7,7,8,16.5221,5.02,CrossCorrelation,OK
11,1784877102.572,8,8,7,16.4746,5.02,CrossCorrelation,OK
12,1784877103.275,1,1,2,16.5545,5.02,CrossCorrelation,OK
12,1784877103.975,2,2,1,16.4785,5.02,CrossCorrelation,OK
12,1784877104.688,3,3,4,16.5037,5.02,CrossCorrelation,OK
12,1784877105.385,4,4,3,16.5098,5.02,CrossCorrelation,OK
12,1784877106.088,5,5,6,16.4428,5.02,CrossCorrelation,OK
12,1784877106.801,6,6,5,16.4490,5.02,CrossCorrelation,OK
12,1784877107.502,7,7,8,16.5316,5.02,CrossCorrelation,OK
12,1784877108.201,8,8,7,16.5355,5.02,CrossCorrelation,OK
13,1784877108.908,1,1,2,16.4873,5.02,CrossCorrelation,OK
13,1784877109.617,2,2,1,16.5495,5.02,CrossCorrelation,OK
13,1784877110.317,3,3,4,16.4996,5.02,CrossCorrelation,OK
13,1784877111.020,4,4,3,16.4906,5.02,CrossCorrelation,OK
13,1784877111.722,5,5,6,16.5025,5.02,CrossCorrelation,OK
13,1784877112.438,6,6,5,16.4674,5.02,CrossCorrelation,OK
13,1784877113.149,7,7,8,16.4844,5.02,CrossCorrelation,OK
13,1784877113.846,8,8,7,16.5002,5.02,CrossCorrelation,OK
14,1784877114.553,1,1,2,16.4888,5.02,CrossCorrelation,OK
14,1784877115.257,2,2,1,16.5105,5.02,CrossCorrelation,OK
14,1784877115.962,3,3,4,16.5333,5.02,CrossCorrelation,OK
14,1784877116.674,4,4,3,16.5015,5.02,CrossCorrelation,OK
14,1784877117.386,5,5,6,16.4600,5.02,CrossCorrelation,OK
14,1784877118.098,6,6,5,16.4975,5.02,CrossCorrelation,OK
14,1784877118.809,7,7,8,16.5051,5.02,CrossCorrelation,OK
14,1784877119.519,8,8,7,16.4960,5.02,CrossCorrelation,OK
15,1784877120.229,1,1,2,16.5308,5.02,CrossCorrelation,OK
15,1784877120.939,2,2,1,16.5053,5.02,CrossCorrelation,OK
15,1784877121.649,3,3,4,16.4894,5.02,CrossCorrelation,OK
15,1784877122.360,4,4,3,16.4869,5.02,CrossCorrelation,OK
15,1784877123.073,5,5,6,16.4671,5.02,CrossCorrelation,OK
15,1784877123.770,6,6,5,16.5390,5.02,CrossCorrelation,OK
15,1784877124.481,7,7,8,16.5492,5.02,CrossCorrelation,OK
15,1784877125.181,8,8,7,16.4941,5.02,CrossCorrelation,OK
16,1784877125.917,1,1,2,16.4923,5.02,CrossCorrelation,OK
16,1784877126.620,2,2,1,16.5085,5.02,CrossCorrelation,OK
16,1784877127.326,3,3,4,16.5007,5.02,CrossCorrelation,OK
16,1784877128.059,4,4,3,16.5071,5.02,CrossCorrelation,OK
16,1784877128.788,5,5,6,16.4916,5.02,CrossCorrelation,OK
16,1784877129.610,6,6,5,16.5015,5.02,CrossCorrelation,OK
16,1784877130.451,7,7,8,16.5242,5.02,CrossCorrelation,OK
16,1784877131.170,8,8,7,16.4892,5.02,CrossCorrelation,OK
17,1784877131.907,1,1,2,16.5360,5.02,CrossCorrelation,OK
17,1784877132.612,2,2,1,16.5142,5.02,CrossCorrelation,OK
17,1784877133.327,3,3,4,16.4970,5.02,CrossCorrelation,OK
17,1784877134.037,4,4,3,16.4999,5.02,CrossCorrelation,OK
17,1784877134.749,5,5,6,16.5467,5.02,CrossCorrelation,OK
17,1784877135.458,6,6,5,16.5082,5.02,CrossCorrelation,OK
17,1784877136.157,7,7,8,16.4999,5.02,CrossCorrelation,OK
17,1784877136.866,8,8,7,16.5048,5.02,CrossCorrelation,OK
18,1784877137.568,1,1,2,16.4532,5.02,CrossCorrelation,OK
18,1784877138.274,2,2,1,16.4485,5.02,CrossCorrelation,OK
18,1784877138.985,3,3,4,16.5400,5.02,CrossCorrelation,OK
18,1784877139.687,4,4,3,16.4781,5.02,CrossCorrelation,OK
18,1784877140.384,5,5,6,16.5542,5.02,CrossCorrelation,OK
18,1784877141.092,6,6,5,16.4909,5.02,CrossCorrelation,OK
18,1784877141.801,7,7,8,16.4921,5.02,CrossCorrelation,OK
18,1784877142.500,8,8,7,16.4672,5.02,CrossCorrelation,OK
19,1784877143.211,1,1,2,16.4635,5.02,CrossCorrelation,OK
19,1784877143.915,2,2,1,16.5056,5.02,CrossCorrelation,OK
19,1784877144.619,3,3,4,16.4858,5.02,CrossCorrelation,OK
19,1784877145.320,4,4,3,16.5135,5.02,CrossCorrelation,OK
19,1784877146.019,5,5,6,16.4982,5.02,CrossCorrelation,OK
19,1784877146.724,6,6,5,16.5148,5.02,CrossCorrelation,OK
19,1784877147.436,7,7,8,16.5430,5.02,CrossCorrelation,OK
19,1784877148.142,8,8,7,16.5024,5.02,CrossCorrelation,OK
20,1784877148.848,1,1,2,16.5005,5.02,CrossCorrelation,OK
20,1784877149.552,2,2,1,16.4812,5.02,CrossCorrelation,OK
20,1784877150.250,3,3,4,16.4799,5.02,CrossCorrelation,OK
20,1784877150.952,4,4,3,16.5134,5.02,CrossCorrelation,OK
20,1784877151.658,5,5,6,16.4654,5.02,CrossCorrelation,OK
20,1784877152.359,6,6,5,16.4993,5.02,CrossCorrelation,OK
