Scan_Index,Timestamp_s,RayPath_ID,Tx_Channel,Rx_Channel,TimeOfFlight_us,AdaptiveCooldown_ms,Method,Status
1,1786504391.705,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
2,1786504391.911,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
3,1786504392.118,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
4,1786504392.323,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
5,1786504392.530,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
6,1786504392.736,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
7,1786504392.939,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
8,1786504393.146,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
9,1786504393.353,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
10,1786504393.560,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
11,1786504393.767,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
12,1786504393.973,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
13,1786504394.178,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
14,1786504394.382,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
15,1786504394.586,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
16,1786504394.799,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
17,1786504395.005,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
18,1786504395.210,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
19,1786504395.415,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
20,1786504395.619,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
21,1786504395.823,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
22,1786504396.027,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
23,1786504396.232,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
24,1786504396.437,1,1,2,N/A,10.00,HilbertEnvelope,NO_SIGNAL
