Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
14500,108.25,195.75,260.75,284.00,190.50,75.63,0.93,70.57
14000,107.75,195.50,260.25,283.00,189.75,71.22,0.93,66.52
14500,108.25,195.75,260.75,284.00,190.50,75.63,0.93,70.57
500,109.75,198.00,263.00,287.00,194.25,0.00,0.00,0.00
1000,110.25,198.75,263.25,287.75,195.25,0.00,0.00,0.00
1500,110.75,199.00,263.75,288.75,196.00,84.90,1.20,101.57
2000,111.25,200.00,264.50,289.25,197.00,84.90,1.20,101.57
2500,111.75,200.25,265.25,290.25,198.25,85.56,1.18,101.12
3000,112.25,201.00,266.00,291.00,199.25,85.56,1.18,101.12
3500,112.50,201.75,266.25,292.00,200.25,88.80,1.17,103.86
4000,113.25,202.25,267.00,292.75,201.25,88.80,1.17,103.86
4500,113.75,203.25,267.50,293.75,202.50,84.25,1.17,98.69
5000,114.25,203.75,268.00,294.75,203.75,84.25,1.17,98.69
5500,114.75,204.50,269.00,295.75,204.75,86.88,1.29,111.66
6000,115.50,205.50,269.75,296.50,206.00,86.88,1.29,111.66
6500,116.00,206.00,270.25,297.50,206.75,88.96,1.27,112.54
7000,116.50,206.75,270.75,298.50,208.00,88.96,1.27,112.54
7500,117.25,207.50,271.50,299.25,209.25,81.93,1.22,99.78
8000,118.00,208.25,272.25,300.25,210.25,81.93,1.22,99.78
8500,118.50,209.25,273.00,301.25,211.25,81.20,1.19,96.30
9000,119.00,209.50,273.75,302.00,212.25,81.20,1.19,96.30
9500,119.75,210.75,274.50,303.00,213.25,80.10,1.18,94.83
10000,120.25,211.25,275.00,304.00,214.00,80.10,1.18,94.83
10500,121.00,212.00,275.50,305.00,214.75,83.77,1.18,98.99
11000,121.50,212.75,276.25,305.75,215.75,83.77,1.18,98.99
11500,122.00,213.50,277.00,306.75,216.50,82.76,1.17,96.96
12000,122.50,214.50,277.75,307.50,217.00,82.76,1.17,96.96
12500,123.25,215.00,278.25,308.25,217.75,80.73,1.17,94.37
13000,123.50,215.75,278.75,309.00,218.50,80.73,1.17,94.37
13500,124.25,216.25,279.25,310.00,219.25,82.19,1.19,97.45
14000,124.75,217.00,279.75,310.50,219.75,82.19,1.19,97.45
14500,125.25,217.75,280.50,311.25,220.50,81.30,1.17,94.94
15000,125.75,218.25,281.25,312.00,221.00,81.30,1.17,94.94
15500,126.25,219.25,281.75,312.50,221.50,81.76,1.17,95.90
16000,126.75,219.75,282.25,313.25,221.50,81.76,1.17,95.90
16500,127.00,220.50,282.50,313.75,222.00,79.18,1.17,92.78
17000,127.50,221.00,283.25,314.50,222.50,79.18,1.17,92.78
17500,127.75,221.50,284.00,315.25,223.00,84.86,1.18,99.93
18000,128.25,222.50,284.50,315.75,223.25,84.86,1.18,99.93
18500,128.75,223.00,285.00,316.50,223.75,81.87,1.17,95.74
19000,129.00,223.50,285.50,317.00,224.00,81.87,1.17,95.74
19500,129.50,224.25,285.75,317.75,224.50,80.80,1.17,94.33
20000,130.00,224.75,286.25,318.25,225.00,80.80,1.17,94.33
20500,130.25,225.50,287.00,319.00,225.25,85.11,1.18,100.46
21000,130.75,226.00,287.50,319.50,225.50,85.11,1.18,100.46
21500,131.00,226.75,288.00,320.00,226.00,83.30,1.20,100.02
22000,131.50,227.25,288.25,320.75,226.25,83.30,1.20,100.02
22500,132.00,227.75,288.75,321.25,226.50,82.47,1.16,95.53
23000,132.25,228.50,289.25,322.00,226.75,82.47,1.16,95.53
23500,132.75,229.00,289.75,322.25,227.00,80.85,1.16,94.10
24000,133.00,229.50,290.25,322.75,227.00,80.85,1.16,94.10
24500,133.25,230.25,290.75,323.50,226.75,80.84,1.19,96.10
25000,133.50,230.75,291.25,324.00,226.50,80.84,1.19,96.10
25500,133.75,231.25,291.50,324.50,226.25,81.02,1.16,94.14
26000,134.25,232.00,292.00,325.00,225.75,81.02,1.16,94.14
26500,134.75,232.50,292.50,325.50,225.50,84.69,1.17,99.21
27000,135.00,233.00,293.00,326.00,225.25,84.69,1.17,99.21
27500,135.50,233.50,293.50,326.50,225.00,79.90,1.18,94.51
28000,135.75,234.00,293.75,327.00,225.00,79.90,1.18,94.51
28500,136.00,234.50,294.25,327.50,225.00,83.44,1.18,98.83
29000,136.50,235.00,294.50,328.00,224.75,83.44,1.18,98.83
29500,136.75,235.50,295.00,328.50,225.00,81.23,1.17,94.85
30000,137.00,236.25,295.50,329.00,225.00,81.23,1.17,94.85
30500,137.50,236.50,295.75,329.25,225.00,83.02,1.16,96.59
31000,137.50,237.25,296.25,329.75,225.00,83.02,1.16,96.59
31500,137.75,237.75,296.75,330.25,225.25,78.96,1.31,103.40
32000,138.00,238.25,297.25,330.75,225.75,78.96,1.31,103.40
32500,138.25,238.50,297.50,331.25,226.00,85.41,1.56,132.89
33000,138.75,239.00,298.00,331.50,226.50,85.41,1.56,132.89
33500,139.00,239.75,298.50,332.00,226.75,82.21,1.78,146.36
34000,139.25,240.25,298.75,332.50,228.00,82.21,1.78,146.36
34500,139.50,240.75,299.25,333.00,228.50,82.13,1.99,163.41
35000,139.75,241.25,299.50,333.25,229.00,82.13,1.99,163.41
35500,140.25,241.50,299.75,333.75,229.00,78.94,1.57,123.91
36000,140.25,242.25,300.50,334.00,230.00,78.94,1.57,123.91
36500,140.75,242.50,300.75,334.50,230.25,81.69,1.35,110.25
37000,141.00,243.00,301.25,335.00,230.75,81.69,1.35,110.25
37500,141.25,243.50,301.50,335.50,231.50,82.90,2.07,171.55
