Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,13.50,14.50,14.50,14.00,14.50,0.00,0.00,0.00
1000,13.50,14.50,14.50,13.75,14.50,0.00,0.00,0.00
1500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
2000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
2500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
3000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
3500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
4000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
4500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
5000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
5500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
6000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
6500,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
7000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
7500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
8000,13.25,14.50,14.25,13.75,14.50,0.00,0.01,0.00
8500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
9000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
9500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
10000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
10500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
11000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
11500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
12000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
12500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
13000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
13500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
14000,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
14500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
15000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
15500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
16000,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
16500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
17000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
17500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
18000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
18500,13.25,14.50,14.25,14.00,14.50,0.00,0.01,0.00
19000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
19500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
20000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
20500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
21000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
21500,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
22000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
22500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
23000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
23500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
24000,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
24500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
25000,13.50,14.50,14.25,14.00,14.50,0.00,0.01,0.00
25500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
26000,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
26500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
27000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
27500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
28000,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
28500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
29000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
29500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
30000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
30500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
31000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
31500,13.50,14.50,14.50,13.75,14.75,0.00,0.01,0.00
32000,13.25,14.50,14.50,14.00,14.50,0.00,0.01,0.00
32500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
33000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
33500,13.50,14.50,14.25,14.00,14.50,0.00,0.01,0.00
34000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
34500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
35000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
35500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
36000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
36500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
37000,13.50,14.50,14.50,13.75,14.75,0.00,0.01,0.00
37500,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
38000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
38500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
39000,13.25,14.50,14.25,13.75,14.50,0.00,0.01,0.00
39500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
40000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
40500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
41000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
41500,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
42000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
42500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
43000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
43500,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
44000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
44500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
45000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
45500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
46000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
46500,13.25,14.50,14.50,13.75,14.50,0.00,0.01,0.00
47000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
47500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
48000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
48500,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
49000,13.50,14.50,14.25,13.75,14.50,0.00,0.01,0.00
49500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
50000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
50500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
51000,13.50,14.50,14.50,14.00,14.50,0.00,0.01,0.00
51500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
52000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
52500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
53000,13.25,14.50,14.50,14.00,14.50,0.00,0.01,0.00
53500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
54000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
54500,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
55000,13.50,14.50,14.50,13.75,14.50,0.00,0.01,0.00
