Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
500,18.75,20.00,20.00,19.50,20.00
1000,18.75,20.00,20.00,19.25,20.00
1500,18.75,20.00,20.00,19.25,20.00
2000,18.75,20.00,19.75,19.25,20.00
2500,18.75,20.00,19.75,19.25,20.00
3000,18.75,20.00,19.75,19.25,19.75
3500,18.75,20.00,20.00,19.25,19.75
4000,18.75,20.00,20.00,19.25,20.00
4500,18.75,20.00,20.00,19.25,20.00
5000,18.75,20.00,19.75,19.25,19.75
5500,18.75,20.00,20.00,19.25,19.75
6000,18.75,20.00,19.75,19.25,20.00
6500,18.75,20.00,20.00,19.25,20.00
7000,18.75,20.00,19.75,19.25,19.75
7500,18.75,20.00,20.00,19.25,19.75
8000,18.75,20.00,19.75,19.25,20.00
8500,18.75,20.00,19.75,19.25,20.00
9000,18.75,20.00,20.00,19.25,20.00
9500,18.75,20.00,19.75,19.25,20.00
10000,18.75,20.00,20.00,19.25,19.75
10500,18.75,20.00,19.75,19.25,20.00
11000,18.75,20.00,19.75,19.25,20.00
11500,18.75,20.00,19.75,19.25,20.00
12000,18.75,20.00,19.75,19.25,20.00
12500,18.75,20.00,20.00,19.25,19.75
13000,18.75,20.00,20.00,19.25,20.00
13500,18.75,20.00,19.75,19.25,20.00
14000,18.75,20.00,20.00,19.25,20.00
14500,18.75,20.00,20.00,19.25,20.00
15000,18.75,20.00,19.75,19.50,20.00
15500,18.75,20.00,19.75,19.25,20.00
16000,18.75,20.00,19.75,19.25,20.00
16500,18.75,20.00,20.00,19.25,20.00
17000,18.75,20.00,20.00,19.25,20.00
17500,18.75,20.00,20.00,19.25,19.75
18000,18.75,20.00,20.00,19.25,19.75
18500,18.75,20.00,20.00,19.25,20.00
19000,18.75,20.00,20.00,19.25,19.75
19500,18.75,20.00,19.75,19.25,20.00
20000,18.75,20.00,20.00,19.25,19.75
20500,18.75,20.00,20.00,19.25,19.75
21000,18.75,20.00,19.75,19.25,20.00
21500,18.75,20.00,20.00,19.25,19.75
22000,18.75,20.00,20.00,19.50,20.00
22500,18.75,20.00,20.00,19.50,20.00
23000,18.75,20.00,20.00,19.25,20.00
23500,18.75,20.00,19.75,19.25,20.00
24000,18.75,20.00,20.00,19.25,20.00
24500,18.75,20.00,20.00,19.25,20.00
25000,18.75,20.00,19.75,19.25,20.00
25500,18.75,20.00,20.00,19.25,20.00
26000,18.75,20.00,20.00,19.25,20.00
26500,18.75,20.00,19.75,19.25,20.00
27000,19.00,20.00,20.00,19.25,19.75
27500,18.75,20.00,19.75,19.25,20.00
28000,18.75,20.00,19.75,19.50,19.75
28500,18.75,20.00,20.00,19.25,20.00
29000,19.00,20.00,20.00,19.25,19.75
29500,19.00,20.00,20.00,19.25,20.00
30000,19.00,20.00,19.75,19.25,20.00
30500,19.00,20.00,20.00,19.25,20.00
31000,19.00,20.00,20.00,19.25,20.00
31500,19.00,20.00,20.00,19.25,20.00
32000,19.00,20.00,19.75,19.25,20.00
32500,19.00,20.00,20.00,19.25,20.00
33000,19.00,20.00,20.00,19.25,20.00
33500,19.00,20.00,19.75,19.50,19.75
34000,19.00,20.00,19.75,19.50,20.00
34500,19.00,20.00,19.75,19.25,20.00
35000,19.25,20.00,20.00,19.25,20.00
35500,19.25,20.00,20.00,19.50,20.00
36000,19.25,20.00,19.75,19.25,20.00
36500,19.25,20.00,19.75,19.25,20.00
