Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
135500,35.75,38.50,39.25,39.00,38.50
Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
500,35.75,38.50,39.50,38.75,38.50
1000,35.75,38.50,39.50,39.00,38.50
1500,35.75,38.50,39.25,39.00,38.50
2000,35.75,38.50,39.50,38.75,38.50
2500,35.75,38.50,39.25,38.75,38.50
3000,35.75,38.50,39.25,38.75,38.50
3500,35.75,38.50,39.25,38.75,38.50
4000,35.75,38.50,39.25,38.75,38.50
4500,35.75,38.50,39.25,38.75,38.50
5000,35.75,38.50,39.25,38.75,38.50
5500,35.75,38.50,39.25,38.75,38.50
6000,35.75,38.50,39.25,38.75,38.50
6500,35.75,38.50,39.25,38.75,38.50
7000,35.75,38.50,39.25,38.75,38.25
7500,35.75,38.50,39.25,38.75,38.25
8000,35.75,38.50,39.25,38.75,38.50
8500,35.75,38.50,39.25,38.75,38.25
9000,35.75,38.50,39.25,38.75,38.50
9500,35.75,38.50,39.25,38.75,38.25
10000,35.75,38.50,39.25,38.75,38.50
10500,35.75,38.50,39.25,38.75,38.50
11000,35.75,38.50,39.25,38.75,38.50
11500,35.75,38.50,39.25,38.75,38.25
12000,35.75,38.50,39.25,39.00,38.25
12500,35.75,38.50,39.25,38.75,38.25
13000,35.75,38.50,39.25,38.75,38.25
13500,35.75,38.50,39.25,38.75,38.25
14000,35.75,38.50,39.25,38.75,38.25
14500,35.75,38.50,39.50,38.75,38.25
15000,35.75,38.50,39.25,38.75,38.50
15500,35.75,38.50,39.25,38.75,38.25
16000,35.75,38.50,39.25,39.00,38.25
16500,35.75,38.50,39.25,38.75,38.50
17000,35.75,38.50,39.25,39.00,38.25
17500,35.75,38.50,39.25,38.75,38.25
18000,35.75,38.50,39.25,38.75,38.50
18500,35.75,38.50,39.25,38.75,38.25
19000,35.75,38.50,39.25,38.75,38.25
19500,35.75,38.50,39.25,38.75,38.25
20000,35.75,38.50,39.25,38.75,38.25
20500,35.75,38.50,39.25,38.75,38.25
21000,35.75,38.50,39.25,38.75,38.25
21500,35.75,38.50,39.25,38.75,38.25
22000,35.75,38.50,39.25,38.75,38.25
22500,35.75,38.50,39.25,39.00,38.25
23000,35.75,38.50,39.25,38.75,38.25
23500,35.75,38.50,39.25,39.00,38.25
24000,35.75,38.50,39.25,38.75,38.25
24500,35.50,38.50,39.25,38.75,38.25
25000,35.75,38.50,39.25,38.75,38.25
25500,35.75,38.50,39.25,38.75,38.25
26000,35.75,38.50,39.25,38.75,38.25
26500,35.75,38.50,39.25,38.75,38.25
27000,35.50,38.50,39.25,38.75,38.25
27500,35.50,38.50,39.25,38.75,38.25
28000,35.50,38.50,39.25,38.75,38.25
28500,35.50,38.50,39.25,38.75,38.25
29000,35.75,38.50,39.25,38.75,38.25
29500,35.75,38.50,39.25,38.75,38.25
30000,35.50,38.50,39.25,38.75,38.25
30500,35.50,38.50,39.25,38.75,38.25
31000,35.50,38.50,39.25,38.75,38.25
31500,35.50,38.50,39.25,38.75,38.25
32000,35.75,38.50,39.25,38.75,38.25
32500,35.50,38.50,39.25,38.75,38.25
33000,35.50,38.50,39.25,38.75,38.25
33500,35.50,38.50,39.25,38.75,38.25
34000,35.50,38.50,39.25,38.75,38.25
34500,35.50,38.50,39.25,38.75,38.25
35000,35.50,38.50,39.25,38.75,38.25
35500,35.50,38.50,39.25,38.75,38.25
36000,35.50,38.50,39.25,38.75,38.25
36500,35.50,38.50,39.25,38.75,38.25
