Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C
00,29.75,35.25,37.25,37.00,36.25
522000,29.75,35.25,37.25,37.00,36.25
522500,29.75,35.25,37.25,37.00,36.25
521500,29.75,35.25,37.25,37.00,36.25
522000,29.75,35.25,37.25,37.00,36.25
522500,29.75,35.25,37.25,37.00,36.25
500,29.75,35.25,37.25,37.00,36.25
1000,29.75,35.25,37.25,37.00,36.25
1500,29.75,35.25,37.25,37.00,36.25
2000,29.75,35.25,37.25,37.25,36.25
2500,29.75,35.25,37.25,37.00,36.00
3000,29.75,35.25,37.00,37.00,36.00
3500,29.75,35.25,37.25,37.00,36.00
4000,29.75,35.25,37.00,37.00,36.25
4500,29.75,35.25,37.25,37.00,36.00
5000,29.75,35.25,37.25,37.00,36.25
5500,29.75,35.25,37.25,37.00,36.25
6000,29.75,35.25,37.25,37.00,36.25
6500,29.75,35.25,37.25,37.00,36.00
7000,29.75,35.25,37.25,37.00,36.25
7500,29.75,35.25,37.25,37.00,36.00
8000,29.75,35.25,37.25,37.25,36.25
8500,29.75,35.25,37.25,37.00,36.00
9000,29.75,35.25,37.25,37.00,36.25
9500,29.75,35.25,37.25,37.00,36.25
10000,29.75,35.25,37.00,37.00,36.25
10500,29.75,35.25,37.25,37.00,36.00
11000,29.75,35.25,37.25,37.00,36.00
11500,29.75,35.25,37.00,37.00,36.00
12000,29.75,35.25,37.25,37.00,36.00
12500,29.75,35.25,37.25,37.00,36.00
13000,29.75,35.25,37.00,37.00,36.00
13500,29.75,35.25,37.25,37.00,36.25
14000,29.75,35.25,37.25,37.00,36.00
14500,29.75,35.25,37.25,37.00,36.00
15000,29.75,35.25,37.00,37.00,36.00
15500,29.75,35.25,37.25,37.00,36.00
16000,29.75,35.25,37.25,37.00,36.00
16500,29.75,35.25,37.00,37.00,36.00
17000,29.75,35.25,37.00,37.00,36.00
17500,29.75,35.25,37.00,37.00,36.00
18000,29.75,35.25,37.25,37.00,36.00
18500,29.75,35.25,37.25,37.00,36.00
19000,29.75,35.25,37.25,37.00,36.00
19500,29.75,35.25,37.25,37.00,36.00
20000,29.75,35.25,37.25,37.00,36.00
20500,29.75,35.25,37.00,37.00,36.00
21000,29.75,35.25,37.25,37.00,36.00
21500,29.75,35.25,37.00,37.00,36.00
22000,29.75,35.25,37.00,37.00,36.00
22500,29.75,35.25,37.25,37.00,36.00
23000,29.75,35.25,37.00,37.00,36.00
23500,29.75,35.25,37.00,37.00,36.00
24000,29.75,35.25,37.00,37.00,36.00
24500,29.75,35.25,37.00,37.00,36.00
25000,29.75,35.25,37.00,37.00,36.00
25500,29.75,35.25,37.00,37.00,36.00
26000,29.75,35.25,37.00,37.00,36.00
26500,29.75,35.25,37.25,37.00,36.00
27000,29.75,35.25,37.00,37.00,36.00
27500,29.75,35.25,37.00,37.00,36.00
28000,29.75,35.25,37.00,37.00,36.00
28500,29.75,35.25,37.00,37.00,36.00
29000,29.75,35.25,37.00,37.00,36.00
29500,29.75,35.25,37.00,37.00,36.00
30000,29.75,35.25,37.00,37.00,36.00
30500,29.75,35.25,37.00,37.00,36.00
31000,29.75,35.25,37.00,37.00,36.00
31500,29.75,35.25,37.00,37.00,36.00
32000,29.75,35.25,37.00,37.00,36.00
32500,29.75,35.25,37.00,37.00,36.00
33000,29.75,35.25,37.00,37.00,36.00
33500,29.75,35.25,37.00,37.00,36.00
34000,29.75,35.25,37.00,37.00,36.00
34500,29.75,35.25,37.00,37.00,36.00
35000,29.75,35.00,37.00,37.00,36.00
35500,29.50,35.25,37.00,37.00,36.00
36000,29.75,35.25,37.00,37.00,36.00
36500,29.50,35.25,37.00,37.00,36.00
37000,29.75,35.25,37.00,37.00,36.00
37500,29.50,35.25,37.00,37.00,36.00
38000,29.75,35.00,37.00,37.00,36.00
38500,29.75,35.25,37.00,37.00,35.75
39000,29.75,35.25,37.00,37.00,36.00
39500,29.75,35.25,37.00,37.00,35.75
40000,29.75,35.25,37.00,37.00,36.00
40500,29.75,35.25,37.00,37.00,35.75
41000,29.75,35.25,37.00,37.00,35.75
41500,29.75,35.25,37.00,37.00,35.75
42000,29.75,35.25,37.00,37.00,36.00
42500,29.50,35.25,37.00,37.00,36.00
43000,29.75,35.25,37.00,37.00,36.00
43500,29.75,35.25,37.00,37.00,35.75
44000,29.75,35.00,37.00,37.00,36.00
44500,29.75,35.25,37.00,37.00,36.00
45000,29.75,35.25,37.00,37.00,35.75
45500,29.75,35.00,37.00,37.00,35.75
46000,29.75,35.25,37.00,37.00,35.75
46500,29.75,35.25,37.00,37.00,36.00
47000,29.50,35.00,37.00,36.75,35.75
47500,29.75,35.00,37.00,37.00,35.75
48000,29.75,35.25,37.00,37.00,35.75
48500,29.75,35.00,37.00,37.00,36.00
49000,29.75,35.00,37.00,36.75,35.75
49500,29.50,35.00,37.00,37.00,35.75
50000,29.50,35.00,37.00,37.00,35.75
50500,29.75,35.25,37.00,36.75,35.75
51000,29.50,35.00,37.00,37.00,35.75
51500,29.75,35.25,37.00,36.75,35.75
52000,29.75,35.00,37.00,37.00,35.75
52500,29.75,35.25,37.00,37.00,35.75
53000,29.75,35.25,37.00,37.00,35.75
53500,29.75,35.00,37.00,36.75,35.75
54000,29.75,35.25,37.00,36.75,35.75
54500,29.50,35.25,37.00,37.00,35.75
55000,29.75,35.00,37.00,36.75,35.75
55500,29.75,35.00,37.00,36.75,35.75
56000,29.75,35.00,37.00,36.75,35.75
56500,29.50,35.00,37.00,37.00,35.75
57000,29.50,35.25,37.00,36.75,35.75
57500,29.75,35.25,37.00,37.00,35.75
58000,29.75,35.00,37.00,37.00,35.75
58500,29.75,35.25,37.00,37.00,35.75
59000,29.75,35.00,37.00,37.00,35.75
59500,29.75,35.00,37.00,36.75,35.75
60000,29.75,35.00,37.00,36.75,35.75
60500,29.50,35.25,37.00,36.75,35.75
61000,29.75,35.00,37.00,36.75,35.75
61500,29.75,35.00,37.00,37.00,35.75
62000,29.75,35.00,37.00,36.75,35.75
62500,29.75,35.00,37.00,36.75,35.75
63000,29.75,35.00,37.00,37.00,35.75
63500,29.50,35.00,37.00,36.75,35.75
64000,29.50,35.00,37.00,36.75,35.75
64500,29.50,35.25,37.00,36.75,35.75
65000,29.75,35.00,36.75,36.75,35.75
65500,29.50,35.00,37.00,36.75,35.75
66000,29.50,35.00,37.00,36.75,35.75
66500,29.50,35.00,37.00,36.75,35.75
67000,29.50,35.00,37.00,36.75,35.75
67500,29.50,35.00,37.00,36.75,35.75
68000,29.50,35.00,37.00,37.00,35.75
68500,29.50,35.00,37.00,36.75,35.75
69000,29.50,35.00,37.00,36.75,35.75
