Time_ms,TC1_C,TC2_C,TC3_C,TC4_C,TC5_C,V_RMS,I_RMS,Wattage
500,16.00,19.00,19.75,18.75,17.75,0.00,0.00,0.00
1000,16.25,19.00,19.75,18.75,17.75,0.00,0.00,0.00
1500,16.00,18.75,19.75,18.75,17.75,14.23,0.01,0.12
2000,16.00,18.75,19.75,18.75,17.75,14.23,0.01,0.12
2500,16.00,18.75,19.75,18.75,17.75,14.01,0.01,0.11
3000,16.25,19.00,19.50,18.75,17.75,14.01,0.01,0.11
3500,16.00,18.75,19.75,18.75,17.75,14.65,0.01,0.14
4000,16.00,18.75,19.75,18.75,17.75,14.65,0.01,0.14
4500,16.00,18.75,19.75,18.75,17.75,14.05,0.01,0.13
5000,16.00,18.75,19.75,18.75,17.75,14.05,0.01,0.13
5500,16.00,18.75,19.75,18.75,17.75,14.43,0.01,0.12
6000,16.00,18.75,19.75,18.75,17.75,14.43,0.01,0.12
6500,16.25,18.75,19.50,18.75,17.75,14.08,0.01,0.12
7000,16.00,18.75,19.75,18.75,17.75,14.08,0.01,0.12
7500,16.00,18.75,19.75,18.75,17.50,14.08,0.01,0.13
8000,16.00,19.00,19.75,18.75,17.75,14.08,0.01,0.13
8500,16.00,18.75,19.50,18.75,17.75,13.79,0.01,0.11
9000,16.00,18.75,19.75,18.75,17.75,13.79,0.01,0.11
9500,16.25,18.75,19.50,18.75,17.75,14.17,0.01,0.13
10000,16.00,18.75,19.75,18.75,17.75,14.17,0.01,0.13
10500,16.25,18.75,19.75,18.75,17.75,14.22,0.01,0.12
11000,16.00,18.75,19.50,18.75,17.75,14.22,0.01,0.12
11500,16.00,18.75,19.50,18.75,17.75,13.87,0.01,0.12
12000,16.00,18.75,19.50,18.75,17.75,13.87,0.01,0.12
12500,16.00,18.75,19.75,18.75,17.75,13.82,0.01,0.12
13000,16.00,18.75,19.75,18.75,17.75,13.82,0.01,0.12
13500,16.00,18.75,19.75,18.75,17.75,14.29,0.01,0.13
14000,16.00,18.75,19.75,18.75,17.75,14.29,0.01,0.13
14500,16.00,18.75,19.75,18.75,17.75,13.53,0.01,0.12
15000,16.00,18.75,19.50,18.75,17.75,13.53,0.01,0.12
15500,16.00,19.00,19.50,18.50,18.75,13.75,0.01,0.12
